Location,Month,Year,Season
"Downtown Las Vegas, Las Vegas",10,2019,Fall
Moorea Beach Club,10,2019,Fall
Luxor Hotel and Casino,10,2019,Fall
"Coca-Cola Store,Las Vegas",10,2019,Fall
Mandalay Bay Beach,10,2019,Fall
Pike Place Market,10,2019,Fall
Erick Schat's Bakery,10,2019,Fall
"Bishop, California",10,2019,Fall
Public Garden,10,2019,Fall
"New York, New York",10,2019,Fall
Ocean Front Tattoo,10,2019,Fall
France,10,2019,Fall
Yosemite National Park,10,2019,Fall
Washington Monument National Monument,10,2019,Fall
"Death Valley Junction, California",10,2019,Fall
"W42nd Street, Manhattan",10,2019,Fall
"Canyon Lands National Park , Utah",10,2019,Fall
"French Quarter, New Orleans, Louisiana",10,2019,Fall
The White House,09,2019,Fall
"Brooklyn, New York",10,2019,Fall
"Horse Shoe Bend Scenic View, Page, Az",10,2019,Fall
Zuma Beach,10,2019,Fall
"Soho, New York",10,2019,Fall
Universal Studios Hollywood,10,2019,Fall
"The White House, Washington, D.C.",10,2019,Fall
"Paris, France",10,2019,Fall
Independence Hall Philadelphia,10,2019,Fall
Four Seasons Hotel Washington DC,10,2019,Fall
Boston Public Library,10,2019,Fall
"Chicago, Illinois",10,2019,Fall
Potomac River - Great Falls,10,2019,Fall
"New York, New York",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
Bear Mountain State Park,10,2019,Fall
Las Vegas Nevada,10,2019,Fall
"New York, New York",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Times Square, New York City",10,2019,Fall
"Kakegawa, Shizuoka",10,2019,Fall
Shake Shack Woodbury Commons,10,2019,Fall
Bear Mountain State Park,10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
Marina Park,10,2019,Fall
Universal Studios Hollywood,10,2019,Fall
"Los Angeles, California",10,2019,Fall
456 Fish,10,2019,Fall
de Young Museum,10,2019,Fall
Bear Mountain Bridge,10,2019,Fall
Acorn Street,10,2019,Fall
The News Room,10,2019,Fall
George Washington Bridge,10,2019,Fall
Tapanzi Bridge,10,2019,Fall
J.F. Kenedy Space Center,10,2019,Fall
"Beverly Hills, Los Angeles, Ca",10,2019,Fall
"Chicago, Illinois",10,2019,Fall
"Minot, North Dakota",10,2019,Fall
Bellagio Las Vegas,10,2019,Fall
Las Vegas Nevada,10,2019,Fall
United States,10,2019,Fall
Parlamento Budapest,10,2019,Fall
Quai de Béthune,05,2018,Spring
Getty Center,10,2019,Fall
Getty Museum,10,2019,Fall
Getty Museum,10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
Twin Peaks Restaurants,10,2019,Fall
"Rhyolite, Nevada",10,2019,Fall
Las Vegas Nevada,10,2019,Fall
New York Las Vegas Hotel,10,2019,Fall
Las Vegas Nevada,10,2019,Fall
Nissan Stadium,10,2019,Fall
Wynn Las Vegas,10,2019,Fall
Fifth Avenue,10,2019,Fall
Dive Spirit Fakarava,10,2019,Fall
Lincoln Memorial,10,2019,Fall
Stanford University,10,2019,Fall
"New York, New York",10,2019,Fall
Mohonk Mountain House,10,2019,Fall
Mohonk Preserve,10,2019,Fall
"Daly City, California",10,2019,Fall
Horseshoe Bend,10,2019,Fall
Pearl Harbor National Memorial,10,2019,Fall
Xcel Energy Center,09,2019,Fall
Potomac River,10,2019,Fall
Charlie Palmer Steak DC,10,2019,Fall
Philadelphia's Magic Gardens,10,2019,Fall
"Grand Central Station, Mahanttan New York",10,2019,Fall
Disney Hollywood studios,10,2019,Fall
Central Park,10,2019,Fall
Welcome to Fabulous Las Vegas sign,10,2019,Fall
"San Francisco, California",10,2019,Fall
"North Hollywood, California",10,2019,Fall
Philadelphia's Magic Gardens,10,2019,Fall
Buddakan,10,2019,Fall
Somewhere in Washington State!,10,2019,Fall
Independence Hall,10,2019,Fall
Independence Hall,10,2019,Fall
"Times Square, New York City",10,2019,Fall
Philadelphia Museum of Art,10,2019,Fall
Philadelphia Museum of Art,10,2019,Fall
"Philadelphia, Pennsylvania",10,2019,Fall
Liberty Bell Center,10,2019,Fall
Los Angeles International Airport,10,2019,Fall
"Philadelphia, Pennsylvania",10,2019,Fall
"Beacon Hill, Boston",10,2019,Fall
"The High Line, New York",10,2019,Fall
"New York, New York",10,2019,Fall
Chicago Downtown,10,2019,Fall
Kennedy Space Center Visitor Complex,10,2019,Fall
"Waikiki Beach, USA",10,2019,Fall
Black Bear Diner,10,2019,Fall
East Zion,10,2019,Fall
Angels Landing - Zion National Park,10,2019,Fall
Boston Harbor Cruises,10,2019,Fall
Antelope Canyon,05,2017,Spring
Antelope Canyon,05,2017,Spring
Grand Canyon National Park,05,2017,Spring
Venice Beach L.A.,05,2017,Spring
Venice Beach L.A.,05,2017,Spring
Hollywood Boulevard,05,2017,Spring
Las Vegas Strip,05,2017,Spring
Conway Arkansas,10,2019,Fall
"Hermosa Beach, California",10,2019,Fall
"Chesapeake, Virginia",10,2019,Fall
"Provincetown, Massachusetts",10,2019,Fall
"Hermosa Beach, California",10,2019,Fall
Staples Center,10,2019,Fall
Harbor Freeway station,10,2019,Fall
Hermosa Beach Pier,10,2019,Fall
"Huntington Beach, California",10,2019,Fall
PIER 39,10,2019,Fall
"Los Angeles, California",10,2019,Fall
"San Francisco, California",10,2019,Fall
Palace of Fine Arts,10,2019,Fall
"San Francisco, California",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Trump International Hotel Washington, D.C.",10,2019,Fall
Lincoln Memorial,10,2019,Fall
"Hermosa Beach, California",10,2019,Fall
"Boston, Massachusetts, United States Of America Babyy",10,2019,Fall
Huckleberry Trail,10,2019,Fall
"Cameron, South Carolina",10,2019,Fall
Lincoln Memorial,10,2019,Fall
Steven F Udvar-Hazy Air & Space Museum,10,2019,Fall
China Chilcano,10,2019,Fall
The Venetian Resort Las Vegas,10,2019,Fall
United States Capitol,10,2019,Fall
United States Capitol,10,2019,Fall
United States Capitol,10,2019,Fall
"Lower Manhattan, NYC",10,2019,Fall
Rockefeller Center,10,2019,Fall
Bear Mountain State Park,10,2019,Fall
Lincoln Memorial,10,2019,Fall
Loews Ventana Canyon Resort,10,2019,Fall
Fort Niagara State Park,10,2019,Fall
"Napa Valley, CA",10,2019,Fall
Antelope Canyon,10,2019,Fall
El Chingon,10,2019,Fall
"Jackson Hole, Wyoming",10,2019,Fall
Antelope Canyon,10,2019,Fall
"Harvard University, Boston, Massachusetts",10,2019,Fall
"Los Angeles, California",10,2019,Fall
Hyatt Centric Faneuil Hall Boston,10,2019,Fall
Willis Tower,10,2019,Fall
Washington Monument and WWII Memorial,10,2019,Fall
Lower Antelope Canyon,10,2019,Fall
Hollywood Bowl,10,2019,Fall
"Harvard University, Boston, Massachusetts",10,2019,Fall
"Salem, Massachusetts",10,2019,Fall
Hollywood Bowl,10,2019,Fall
"South Lake Union, Seattle",10,2019,Fall
"Manhattan, New York",10,2019,Fall
Hollywood Sign View Point,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
"Hulopo'e Bay, Lana'i - Hawaii",10,2019,Fall
The Monument Valley,10,2019,Fall
Circus Circus Las Vegas Hotel & Casino,10,2019,Fall
Las Vegas Boulevard,10,2019,Fall
Mariposa Grove,10,2019,Fall
"Georgetown, Colorado",10,2019,Fall
Golden Gate Bridge,10,2019,Fall
Googleplex,10,2019,Fall
"Perth, Western Australia",10,2019,Fall
Empire State Building,10,2019,Fall
In-N-Out Burger,10,2019,Fall
"Key West, Florida",10,2019,Fall
"Beverly Hills, California",10,2019,Fall
"San Francisco, California",10,2019,Fall
Chicago's Home Mural,10,2019,Fall
Red Rock Canyon Las Vegas,10,2019,Fall
"San Francisco, California",10,2019,Fall
Joker Stairs,10,2019,Fall
The Venetian Resort Las Vegas,10,2019,Fall
"Bellagio Fountains, Las Vegas",10,2019,Fall
Yesomite Park,10,2019,Fall
Walt Disney World,10,2019,Fall
Santa Fe National Forest,10,2019,Fall
"Fremont, California",10,2019,Fall
Statue of Liberty National Monument,10,2019,Fall
Arches National Park,06,2019,Summer
Zion National Park,06,2019,Summer
Black Canyon of the Gunnison National Park,06,2019,Summer
"New York, New York",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
Welcome to Fabulous Las Vegas sign,10,2019,Fall
"Hoover Dam, Nevada / Arizona State Line",10,2019,Fall
Antelope Canyon,10,2019,Fall
Mist Trail,10,2019,Fall
Rio Washingtonian Center,10,2019,Fall
Brooklyn Bridge,10,2019,Fall
Liberty State Park,10,2019,Fall
"Santa Monica, California",10,2019,Fall
Rockefeller Center,10,2019,Fall
The Wizarding World of Harry Potter,10,2019,Fall
Horseshoe Bend,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Twin Peaks (San Francisco),10,2019,Fall
"Philadelphia, Pennsylvania",10,2019,Fall
"Wynwood Walls & Art District, Miami",10,2019,Fall
"New York, New York",10,2019,Fall
"Santa Monica, California",10,2019,Fall
Hilton Garden Inn Chattanooga Hamilton Place,10,2019,Fall
Home Alone House,10,2019,Fall
"Los Angeles, California",10,2019,Fall
"Wailea-Makena, Hawaii",10,2019,Fall
Route 66 Needles Ca,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Grand Canyon South Rim Ranch,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Topock66 Colorado River,10,2019,Fall
Horseshoe Bend,10,2019,Fall
The Bronxx NYC,10,2019,Fall
Route 66 Oatman,10,2019,Fall
"Chelsea, Manhattan",10,2019,Fall
"Oatman, Arizona",10,2019,Fall
Around the World,10,2019,Fall
"Morro Bay, California",10,2019,Fall
"Oatman, Arizona",10,2019,Fall
"Oatman, Arizona",10,2019,Fall
PIER 39,10,2019,Fall
Cerillos,09,2019,Fall
"Shiloh, Tennessee",09,2019,Fall
"Murfreesboro, Tennessee",09,2019,Fall
"San Francisco, California",10,2019,Fall
"San Francisco, California",10,2019,Fall
San Francisco Ferry Building,10,2019,Fall
Golden Gate Bridge,10,2019,Fall
Powell Street station,10,2019,Fall
"Big Sur, California",10,2019,Fall
"New York, New York",10,2019,Fall
Pacific Coast Highway,10,2019,Fall
"New York, New York",10,2019,Fall
Dive Spirit Fakarava,10,2019,Fall
Dive Spirit Fakarava,10,2019,Fall
Dive Spirit Fakarava,10,2019,Fall
South Arapaho Peak,10,2019,Fall
Sitgreaves Pass,10,2019,Fall
Sitgreaves Pass,10,2019,Fall
"Kingman, AZ Historic Route 66",10,2019,Fall
"Kingman, AZ Historic Route 66",10,2019,Fall
Statue Of Liberty And Ellis Island Immigration Museum,10,2019,Fall
"Grand Canyon, Arizona",10,2019,Fall
Vermont,10,2019,Fall
"Grand Canyon, Arizona",10,2019,Fall
New York,10,2019,Fall
Milenium Park Chicago,10,2019,Fall
Václav Havel Airport Prague,10,2019,Fall
"Santa Monica, California",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Carmel, California",10,2019,Fall
Horseshoe Bend,10,2019,Fall
Goldfield Ghost Town,10,2019,Fall
La Jolla,10,2019,Fall
The Grove,10,2019,Fall
"Los Angeles, California",10,2019,Fall
Sabino Canyon National Park,10,2019,Fall
Saguro National Park,10,2019,Fall
La Jolla Beach San Diego California,10,2019,Fall
Yosemite Valley,10,2019,Fall
"Williams, California",10,2019,Fall
Louisiana,10,2019,Fall
Goldfield Ghost Town,10,2019,Fall
Arizona,10,2019,Fall
Goldfield Ghost Town,10,2019,Fall
Goldfield Ghost Town,10,2019,Fall
Red Rock State Park,10,2019,Fall
Cathedral Rock,10,2019,Fall
"Melrose, Los Angeles, California",10,2019,Fall
"Santa Monica, California",10,2019,Fall
"Palm Beach, Florida",10,2019,Fall
Gare de Luxembourg,10,2019,Fall
"Hackberry, Arizona",10,2019,Fall
Hackberry General Store,10,2019,Fall
"Seligman, Arizona",10,2019,Fall
"Bellevue, Washington",10,2019,Fall
Desert Hills Premium Outlets,10,2019,Fall
Rodeo Drive,10,2019,Fall
Rhyolite Ghost Town,10,2019,Fall
"Malibu Beach, California, Los Angeles",10,2019,Fall
"Seligman, Arizona",10,2019,Fall
"Seligman, Arizona",10,2019,Fall
"Crookton, Arizona",10,2019,Fall
"Ash Fork, Arizona",10,2019,Fall
The Lodge Maribaya Lembang,10,2019,Fall
National Museum of American History,10,2019,Fall
Golden Gate Bridge,10,2019,Fall
"Picture Rocks, Pennsylvania",10,2019,Fall
"Houston, Texas",10,2019,Fall
"Manhattan Beach, Manhattan Beach, California",10,2019,Fall
Fireside Orchard,10,2019,Fall
"Folsom, California",10,2019,Fall
"Dumbo Boulders, Manhattan Bridge",10,2019,Fall
New Amsterdam Theatre,10,2019,Fall
Muro Fronterizo En Playas De Tijuana,10,2019,Fall
Time Square Manathan,10,2019,Fall
"New York, New York",10,2019,Fall
Santa Monica Pier,10,2019,Fall
Lake Tahoe,10,2019,Fall
"Williams, Arizona",10,2019,Fall
"Williams, Arizona",10,2019,Fall
"Winslow, AZ",10,2019,Fall
Buckingham Fountain,10,2019,Fall
"Grand Canyon, Arizona",10,2019,Fall
"Cleveland, Ohio",10,2019,Fall
"Grand Canyon, Arizona",10,2019,Fall
Golden Gate Bridge,10,2019,Fall
"Washington DC, USA",10,2019,Fall
"Seattle, Washington",10,2019,Fall
Bear Mountain State Park,10,2019,Fall
"Times Square, New York City",10,2019,Fall
Horseshoe Bend,10,2019,Fall
California,10,2019,Fall
Shady Lady Bed and Breakfast,10,2019,Fall
Hyatt Centric Fisherman's Wharf San Francisco,10,2019,Fall
"Tucson, Arizona",10,2019,Fall
"Red Rock, Phoenix, Arizona",10,2019,Fall
"Lloydminster, Saskatchewan",10,2019,Fall
Lower Antelope Canyon Page Ariz.,10,2019,Fall
Meteor Crater Natural Landmark,10,2019,Fall
Route 66 Flagstaff,10,2019,Fall
Route 66 Flagstaff,10,2019,Fall
"Flagstaff, Arizona",10,2019,Fall
San Francisco Peaks,10,2019,Fall
Lake Hollywood Park,10,2019,Fall
New York,10,2019,Fall
The Signature Room at the 95th,10,2019,Fall
"Valle, Arizona",10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Lovers Key State Park,10,2019,Fall
"Monterey, California",10,2019,Fall
"Sour Lake, Texas",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
Valley of Fire State Park,10,2019,Fall
"Chesapeake, Virginia",10,2019,Fall
Venice Skatepark,10,2019,Fall
"Yuma, Arizona",10,2019,Fall
Sunset Blvd.,10,2019,Fall
"Wildwood, New Jersey",10,2019,Fall
Brooklyn Bridge,10,2019,Fall
ONE WORLD OBSERVATORY,10,2019,Fall
Chicago Bank of America Marathon,10,2019,Fall
"Times Square, New York City",10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Venice Beach,10,2019,Fall
"Times Square, New York City",10,2019,Fall
Park City Utah Mountainside,10,2019,Fall
Raging Bull,10,2019,Fall
"Bayside, Miami, Florida",10,2019,Fall
"Horshoe Bend State park, AZ",10,2019,Fall
The Last Bookstore,10,2019,Fall
Beverly Gardens Park,10,2019,Fall
Universal Studios Hollywood,10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Joshua Tree, California",10,2019,Fall
"San Diego, California",10,2019,Fall
"Sevenmile Corner, North Dakota",10,2019,Fall
Brooklyn Bridge,10,2019,Fall
Soldier Field- Chicago Bears Football,10,2019,Fall
Horseshoe Bend,10,2019,Fall
Santa Cruz Wharf,10,2019,Fall
"Kaibito, Arizona",10,2019,Fall
Coldwell Banker Real Estate LLC,10,2019,Fall
Rio Washingtonian Center,10,2019,Fall
Navajo National Monument,10,2019,Fall
Maple Leaf Bar,10,2019,Fall
"Woodstock, Vermont",10,2019,Fall
Monument Valley Navajo Tribal Park,10,2019,Fall
Monument Valley Navajo Tribal Park,10,2019,Fall
Monument Valley Navajo Tribal Park,10,2019,Fall
Monument Valley,10,2019,Fall
"Baltimore, Maryland",10,2019,Fall
"Sequoia National Park, California",10,2019,Fall
Monument Valley,10,2019,Fall
Forrest Gump Point,10,2019,Fall
"Mexican Hat, Utah",10,2019,Fall
42 Street Subway,10,2019,Fall
Hollywood Sign Hike,10,2019,Fall
River Walk,10,2019,Fall
Bear Mountain,10,2019,Fall
Santa Cruz Wharf,10,2019,Fall
Skyline Wilderness Park,10,2019,Fall
Philadelphia's Magic Gardens,10,2019,Fall
"San Diego, California",10,2019,Fall
"Artists Palette, Death Valley",10,2019,Fall
Dive Spirit Fakarava,10,2019,Fall
Venice Beach,10,2019,Fall
Kerry Park,10,2019,Fall
Lombard Street,10,2019,Fall
Vila Madalena,10,2019,Fall
"Reedville, Virginia",10,2019,Fall
LACMA Los Angeles County Museum of Art,10,2019,Fall
"Rodeo Drive, Beverly Hills",10,2019,Fall
Louis Vuitton,10,2019,Fall
"Silicon Valley, California",10,2019,Fall
Las Vegas Sign - downtown,10,2019,Fall
Horseshoe Bend,07,2018,Summer
Prudential Center,10,2019,Fall
"Celebration, Florida",10,2019,Fall
Griffith Observatory,10,2019,Fall
Yosemite National Park,10,2019,Fall
Tennesse Valley Beach,10,2019,Fall
La Brea Tar Pits and Museum,10,2019,Fall
NRG Stadium,10,2019,Fall
"Woody, California",10,2019,Fall
"San Francisco, California",10,2019,Fall
"Mono Lake, Ca",10,2019,Fall
"Seattle, Washington State",10,2019,Fall
Arches National Park,10,2019,Fall
Arches National Park,10,2019,Fall
Bear Mountain State Park,10,2019,Fall
Arches National Park,10,2019,Fall
Arches National Park,10,2019,Fall
Arches National Park,10,2019,Fall
Alice in Wonderland Statue in Central Park,10,2019,Fall
Double Arch,10,2019,Fall
Landscape Arch,10,2019,Fall
Devils Garden Trail and Landscape Arch,10,2019,Fall
New York,10,2019,Fall
Four Seasons Hotel Las Vegas,10,2019,Fall
Dodger Stadium,10,2019,Fall
"Venice Beach, Los Angeles",10,2019,Fall
New York,10,2019,Fall
Terminal 3 - Indira Gandhi International Airport,10,2019,Fall
"Grand Canyon, Arizona",10,2019,Fall
"New Orleans, Louisiana",10,2019,Fall
"Santa Barbara, California",10,2019,Fall
"San Diego, California",10,2019,Fall
"Old Town, San Diego",10,2019,Fall
"Old Town, San Diego",10,2019,Fall
"San Francisco, California",10,2019,Fall
"Golden Gate Bridge, Sanfrancisco, California",10,2019,Fall
Santa Monica Pier,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
"Waikiki Beach, USA",10,2019,Fall
Melrose Avenue,01,2019,Winter
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Upper East Side,10,2019,Fall
United States,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Atlanta Botanical Garden,10,2019,Fall
Michael C. Carlos Museum,10,2019,Fall
Michael C. Carlos Museum,10,2019,Fall
Michael C. Carlos Museum,10,2019,Fall
General Sherman Tree Trail,10,2019,Fall
Defeat of Jesse James Days,10,2019,Fall
Statue of Liberty National Monument,10,2019,Fall
Yosemite National Park,10,2019,Fall
"Barstow, California",10,2019,Fall
Death Valley National Park,10,2019,Fall
The Venetian Resort Las Vegas,10,2019,Fall
"Jersey City, New Jersey",10,2019,Fall
International Departure Lounge,10,2019,Fall
"Old Town, San Diego",10,2019,Fall
"San Diego, California",10,2019,Fall
Alamo Square,10,2019,Fall
Facebook HQ,10,2019,Fall
Facebook San Francisco,10,2019,Fall
"Caineville, Utah",10,2019,Fall
Capitol Reef National Park,10,2019,Fall
Capitol Reef National Park,10,2019,Fall
"Reedville, Virginia",10,2019,Fall
Sunset Cliffs State Preserve,10,2019,Fall
Lincoln Financial Philadelphia Eagles Stadium,10,2019,Fall
IHOP,10,2019,Fall
Universal Studios Hollywood,10,2019,Fall
Grand Canyon National Park,10,2019,Fall
Capitol Reef National Park,10,2019,Fall
"Fruita, Utah",10,2019,Fall
Capitol Reef National Park,10,2019,Fall
The Vessel,10,2019,Fall
Stearns Wharf,10,2019,Fall
"Park City, Utah",10,2019,Fall
Newark Liberty International Airport,10,2019,Fall
Cat Therapy,10,2019,Fall
Cat Therapy,10,2019,Fall
"Kansas City, Missouri",10,2019,Fall
La Jolla Cove,10,2019,Fall
OUE Skyspace La,10,2019,Fall
Rodeo Drive,10,2019,Fall
Venice Beach,10,2019,Fall
Constitution Gardens Pond,10,2019,Fall
"Central Park, Manhattan, New York City",10,2019,Fall
"USS Hornet - Sea, Air and Space Museum",10,2019,Fall
USA East Coast,10,2019,Fall
Yosemite National Park,10,2019,Fall
Paris Aéroport - Charles de Gaulle (CDG),10,2019,Fall
"DUMBO, Brooklyn",10,2019,Fall
Mondrian South Beach,10,2019,Fall
Universal Orlando,10,2019,Fall
Route 66,10,2019,Fall
"New York, New York",10,2019,Fall
Brooklyn Bridge,10,2019,Fall
Gilley's Dallas Event Venues,10,2019,Fall
Lake Hollywood Park,10,2019,Fall
"Santa Monica, California",10,2019,Fall
Red Butte Garden,10,2019,Fall
Randy's Donuts,10,2019,Fall
Walmart,10,2019,Fall
"Old Las Vegas Fremont Street, NV",10,2019,Fall
"Long Beach, California",10,2019,Fall
Death Valley National Park - West Entrance,10,2019,Fall
"Anjuna Beach,Goa",10,2019,Fall
The Ant Hill,10,2019,Fall
"Grover, Utah",10,2019,Fall
Dixie National Forest,10,2019,Fall
"Hoboken, New Jersey",10,2019,Fall
Scenic byway 12 Utah,10,2019,Fall
"Minot, North Dakota",10,2019,Fall
Celebration Town Center,10,2019,Fall
"Tourist Club, Abu Dhabi, United Arab Emirates",07,2016,Summer
Westgate Cocoa Beach Pier,10,2019,Fall
"Daggett, California",10,2019,Fall
Escalante Petrified Forest State Park,10,2019,Fall
"Santa Barbara, California",10,2019,Fall
"Philadelphia, Pennsylvania",10,2019,Fall
"Las Vegas, Nevada",10,2019,Fall
"Orlando, Florida",10,2019,Fall
Scenic byway 12 Utah,10,2019,Fall
Scenic byway 12 Utah,10,2019,Fall
Bryce Canyon National Park,10,2019,Fall
Bryce Canyon National Park,10,2019,Fall
Red Canyon,10,2019,Fall
"Horse Shoe Bend Scenic View, Page, Az",10,2019,Fall
"Dana Point, California",10,2019,Fall
Welcome To Arizona Sign,10,2019,Fall
Grand Canyon Western Ranch,10,2019,Fall
